t,Phase,Marker,P,t-1000,V'O2/kg,V'O2,V'CO2,RER,Fett,CHO,EU,HF,EUFett,EUKH,BWG
0:00:30,Ruhe,,0,-,1,0.07,0.06,0.85,1,2,19,104,8,9,0
0:01:00,Ruhe,,0,-,6,0.39,0.30,0.77,8,6,111,102,76,24,0
0:01:30,Ruhe,,0,-,7,0.40,0.33,0.82,7,10,116,98,62,43,0
0:02:00,Ruhe,,0,-,6,0.38,0.32,0.84,5,12,111,102,49,51,0
0:02:30,Unbelastetes Treten,,67,-,11,0.69,0.63,0.92,4,35,203,104,41,144,29
0:03:00,Unbelastetes Treten,,66,-,16,0.99,0.85,0.86,12,35,287,111,115,146,20
0:03:30,Unbelastetes Treten,,66,-,16,1.01,0.85,0.84,14,33,292,110,131,134,19
0:04:00,Unbelastetes Treten,,66,-,17,1.03,0.93,0.90,9,48,303,111,80,196,19
0:04:30,Belastung,,65,-,16,0.98,0.89,0.91,7,48,287,109,63,198,20
0:05:00,Belastung,,65,-,16,0.97,0.87,0.90,8,45,284,107,72,186,20
0:05:30,Belastung,,67,-,17,1.05,0.96,0.91,7,52,309,112,66,214,19
0:06:00,Belastung,,66,-,16,1.01,0.95,0.94,4,56,298,112,39,232,19
0:06:30,Belastung,,65,-,16,0.98,0.93,0.94,4,56,292,111,34,231,19
0:07:00,Belastung,,64,-,15,0.92,0.85,0.93,5,48,271,111,48,198,20
0:07:30,Belastung,,80,-,16,0.98,0.89,0.91,7,47,288,107,69,193,24
0:08:00,Belastung,,80,-,17,1.08,0.99,0.92,7,55,318,111,62,227,22
0:08:30,Belastung,,80,-,19,1.15,1.07,0.93,6,62,339,115,53,256,20
0:09:00,Belastung,,80,-,18,1.10,1.04,0.94,4,62,327,115,41,256,21
0:09:30,Belastung,,80,-,19,1.18,1.14,0.96,2,73,352,115,20,300,20
0:10:00,Belastung,,80,-,18,1.10,1.03,0.94,5,61,325,116,44,251,21
0:10:30,Belastung,,100,-,19,1.15,1.11,0.96,3,70,343,118,26,286,25
0:11:00,Belastung,,100,-,19,1.21,1.15,0.95,3,72,359,121,31,295,24
