t,Phase,Marker,P,t-1000,V'O2/kg,V'O2,V'CO2,RER,Fett,CHO,EU,HF
0:00:30,Ruhe,,0,-,5,0.31,0.28,0.92,2,16,91,86
0:01:00,Ruhe,,0,-,8,0.46,0.46,0.98,0,31,139,81
0:01:30,Ruhe,,0,-,5,0.30,0.29,0.98,0,20,88,83
0:02:00,Ruhe,,0,-,7,0.43,0.40,0.91,3,21,128,79
0:02:30,Belastung,,60,-,12,0.74,0.69,0.93,4,40,218,90
0:03:00,Belastung,,60,-,16,0.99,0.88,0.89,9,43,289,108
0:03:30,Belastung,,60,-,20,1.18,1.08,0.91,8,58,347,110
0:04:00,Belastung,,60,-,18,1.08,1.04,0.96,2,66,322,109
0:04:30,Belastung,,60,-,18,1.07,1.03,0.96,2,65,318,109
0:05:00,Belastung,,60,-,17,0.99,0.93,0.94,4,55,294,108
0:05:30,Belastung,,80,-,19,1.11,1.02,0.92,7,56,327,109
0:06:00,Belastung,,80,-,21,1.24,1.16,0.94,6,68,367,115
0:06:30,Belastung,,80,-,21,1.25,1.19,0.95,4,73,370,116
0:07:00,Belastung,,80,-,20,1.20,1.15,0.96,3,72,356,114
0:07:30,Belastung,,80,-,20,1.19,1.14,0.95,3,71,354,115
0:08:00,Belastung,,80,-,20,1.21,1.17,0.97,2,75,361,117
0:08:30,Belastung,,100,-,21,1.26,1.18,0.93,6,69,373,118
0:09:00,Belastung,,100,-,22,1.34,1.24,0.92,8,68,396,122
0:09:30,Belastung,,100,-,23,1.39,1.32,0.95,4,82,414,124
0:10:00,Belastung,,100,-,23,1.37,1.31,0.95,4,81,408,125
0:10:30,Belastung,,100,-,23,1.36,1.27,0.93,7,74,403,124
0:11:00,Belastung,,100,-,24,1.42,1.38,0.97,1,91,425,127
0:11:30,Belastung,,120,-,23,1.38,1.36,0.99,0,91,412,128
0:12:00,Belastung,,120,-,26,1.54,1.45,0.94,7,86,457,130
0:12:30,Belastung,,120,-,26,1.57,1.50,0.96,4,94,468,132
0:13:00,Belastung,,120,-,26,1.56,1.45,0.93,8,84,461,133
0:13:30,Belastung,,120,-,27,1.61,1.52,0.95,6,93,477,132
0:14:00,Belastung,,120,-,26,1.58,1.50,0.95,4,94,469,133
0:14:30,Belastung,,140,-,27,1.61,1.53,0.95,5,93,478,134
0:15:00,Belastung,,140,-,29,1.71,1.63,0.95,5,100,508,136
0:15:30,Belastung,,140,-,30,1.80,1.73,0.96,4,111,536,139
0:16:00,Belastung,,140,-,30,1.78,1.71,0.96,4,108,529,140
0:16:30,Belastung,,140,-,31,1.84,1.76,0.96,4,111,547,142
0:17:00,Belastung,,140,-,30,1.79,1.79,1.00,0,119,536,143
0:17:30,Belastung,,160,-,32,1.93,1.94,1.00,0,128,578,143
0:18:00,Belastung,,160,-,34,2.07,2.02,0.97,2,133,618,147
0:18:30,Belastung,,160,-,34,2.06,2.04,0.99,0,136,616,150
0:19:00,Belastung,,160,-,36,2.17,2.10,0.97,4,135,647,151
0:19:30,Belastung,,160,-,35,2.09,2.11,1.01,0,138,626,155
0:20:00,Belastung,,160,-,35,2.08,2.06,0.99,0,138,624,154
0:20:30,Belastung,,180,-,35,2.11,2.06,0.98,1,138,630,153
0:21:00,Belastung,,180,-,37,2.23,2.22,1.00,0,147,666,156
0:21:30,Belastung,,180,-,38,2.28,2.25,0.98,0,151,683,158
0:22:00,Belastung,,180,-,39,2.34,2.37,1.01,0,155,702,162
0:22:30,Belastung,,180,-,39,2.34,2.39,1.02,0,155,700,163
0:23:00,Belastung,,180,-,40,2.39,2.41,1.01,0,159,716,162
0:23:30,Belastung,,200,-,40,2.39,2.43,1.02,0,159,716,164
0:24:00,Belastung,,200,-,41,2.46,2.49,1.01,0,163,738,166
0:24:30,Belastung,,200,-,43,2.56,2.67,1.05,0,170,766,168
0:25:00,Belastung,,200,-,42,2.50,2.59,1.04,0,165,747,168
0:25:30,Belastung,,200,-,43,2.56,2.68,1.04,0,170,767,170
0:26:00,Belastung,,200,-,44,2.62,2.78,1.06,0,173,783,172
0:26:30,Belastung,,220,-,43,2.60,2.72,1.05,0,172,777,173
0:27:00,Belastung,,220,-,45,2.72,2.88,1.06,0,180,814,174
0:27:30,Belastung,,220,-,45,2.70,2.89,1.07,0,179,807,174
0:28:00,Belastung,,220,-,46,2.74,2.95,1.08,0,182,821,176
0:28:30,Belastung,,220,-,45,2.73,2.98,1.09,0,181,817,177
0:29:00,Belastung,,220,-,47,2.81,3.10,1.10,0,186,842,178
0:29:30,Belastung,,240,-,46,2.79,3.03,1.09,0,185,834,179
0:30:00,Belastung,,240,-,48,2.89,3.23,1.12,0,191,864,181
