date,TSS
"01.01.24, 16:49",100
"02.01.24, 22:15",6
"03.01.24, 15:01",83
"05.01.24, 15:16",110
"06.01.24, 20:59",6
"07.01.24, 15:59",136
"08.01.24, 13:45",7
"13.01.24, 14:44",5
"13.01.24, 16:00",83
"14.01.24, 16:09",74
"16.01.24, 15:06",55
"17.01.24, 20:29",5
"18.01.24, 14:13",94
"19.01.24, 23:15",5
"20.01.24, 15:06",118
"20.01.24, 17:55",3
"21.01.24, 14:21",129
"21.01.24, 17:29",4
"22.01.24, 23:30",5
"23.01.24, 15:39",81
"24.01.24, 17:46",5
"25.01.24, 13:31",93
"26.01.24, 17:25",3
"26.01.24, 20:36",5
"27.01.24, 16:11",143
"28.01.24, 11:42",5
"28.01.24, 14:24",69
"30.01.24, 11:33",5
"30.01.24, 14:28",34
"31.01.24, 12:21",6
"01.02.24, 11:50",6
"01.02.24, 14:38",119
"01.02.24, 17:04",4
"02.02.24, 11:05",5
"03.02.24, 16:48",137
"04.02.24, 10:47",69
"04.02.24, 23:06",5
"16.02.24, 17:48",21
"17.02.24, 13:25",6
"17.02.24, 16:14",23
"18.02.24, 23:15",6
"19.02.24, 22:35",6
"20.02.24, 15:29",5
"21.02.24, 15:07",79
"22.02.24, 12:56",5
"23.02.24, 10:13",6
"23.02.24, 16:12",83
"24.02.24, 15:22",6
"25.02.24, 15:20",92
"25.02.24, 17:15",7
"25.02.24, 21:36",6
"26.02.24, 14:51",6
"27.02.24, 15:55",77
"27.02.24, 18:39",4
"29.02.24, 13:00",82
"29.02.24, 20:34",5
"01.03.24, 22:10",5
"02.03.24, 17:15",104
"02.03.24, 19:41",10
"02.03.24, 23:03",6
"03.03.24, 14:42",130
"03.03.24, 19:09",6
"03.03.24, 23:07",5
"04.03.24, 22:35",5
"05.03.24, 15:37",64
"06.03.24, 20:41",5
"07.03.24, 10:49",62
"07.03.24, 15:24",6
"09.03.24, 21:34",5
"10.03.24, 12:38",5
"10.03.24, 13:41",7
"10.03.24, 16:10",93
"11.03.24, 11:51",5
"12.03.24, 12:16",4
"12.03.24, 15:50",77
"14.03.24, 12:03",5
"14.03.24, 14:03",82
"15.03.24, 10:52",4
"15.03.24, 18:41",5
"16.03.24, 15:23",104
"16.03.24, 19:33",5
"17.03.24, 11:42",4
"17.03.24, 14:32",105
"18.03.24, 22:04",5
"19.03.24, 11:32",55
"22.03.24, 11:06",65
"23.03.24, 21:53",4
"24.03.24, 10:24",5
"24.03.24, 15:07",160
"25.03.24, 20:08",4
"26.03.24, 13:32",119
"26.03.24, 22:28",5
"27.03.24, 15:24",139
"27.03.24, 22:22",4
"29.03.24, 14:54",161
"29.03.24, 19:12",4
"29.03.24, 21:49",4
"30.03.24, 15:24",4
"31.03.24, 14:41",260
"31.03.24, 23:28",4
"01.04.24, 13:02",4
"02.04.24, 11:12",4
"02.04.24, 15:35",140
"03.04.24, 11:29",5
"03.04.24, 15:42",94
"05.04.24, 10:36",4
"05.04.24, 16:02",111
"06.04.24, 12:58",260
"06.04.24, 23:22",5
"08.04.24, 21:35",4
"09.04.24, 16:34",95
"10.04.24, 22:38",4
"11.04.24, 10:56",5
"11.04.24, 11:12",5
"11.04.24, 16:58",128
"12.04.24, 10:09",4
"13.04.24, 14:22",214
"13.04.24, 23:02",4
"14.04.24, 14:06",157
"15.04.24, 15:22",4
"16.04.24, 11:41",4
"16.04.24, 13:26",55
"18.04.24, 10:40",4
"18.04.24, 13:54",94
"19.04.24, 21:32",4
"20.04.24, 10:50",19
"20.04.24, 18:54",4
"21.04.24, 09:15",326
"22.04.24, 15:35",4
"23.04.24, 12:19",4
"24.04.24, 15:09",5
"25.04.24, 18:59",5
"28.04.24, 10:24",207
"29.04.24, 10:25",214
"30.04.24, 10:23",303
"01.05.24, 10:13",74
"02.05.24, 10:07",3
"02.05.24, 10:17",83
"02.05.24, 11:42",7
"03.05.24, 10:14",272
"07.05.24, 16:21",36
"07.05.24, 21:34",4
"08.05.24, 18:30",4
"09.05.24, 11:08",137
"09.05.24, 17:07",6
"11.05.24, 10:04",232
"11.05.24, 20:11",5
"14.05.24, 14:06",55
"16.05.24, 11:11",94
"18.05.24, 11:34",19
"18.05.24, 18:43",6
"19.05.24, 10:00",205
"20.05.24, 16:17",50
"22.05.24, 15:38",280
"25.05.24, 14:16",84
"26.05.24, 11:05",230
"30.05.24, 09:03",264
"30.05.24, 16:42",5
"01.06.24, 08:57",50
"01.06.24, 19:12",6
"02.06.24, 18:16",92
"04.06.24, 16:00",94
"05.06.24, 19:51",5
"06.06.24, 15:45",93
"08.06.24, 11:22",26
"09.06.24, 11:59",296
"11.06.24, 17:11",22
"13.06.24, 14:10",90
"13.06.24, 17:17",4
"15.06.24, 10:21",31
"16.06.24, 07:00",358
"18.06.24, 09:54",40
"20.06.24, 15:52",149
"20.06.24, 22:31",5
"22.06.24, 23:13",4
"23.06.24, 11:22",270
"23.06.24, 16:35",4
"24.06.24, 17:42",135
"26.06.24, 16:03",136
"30.06.24, 08:18",347
"05.07.24, 17:34",69
"07.07.24, 08:47",272
"09.07.24, 17:15",94
"11.07.24, 16:53",93
"13.07.24, 15:31",16
"14.07.24, 09:00",251
"16.07.24, 21:32",5
"17.07.24, 19:30",41
"19.07.24, 22:44",5
"21.07.24, 09:35",101
"22.07.24, 22:09",5
"23.07.24, 11:45",122
"25.07.24, 11:08",103
"26.07.24, 13:48",117
"28.07.24, 10:33",38
"28.07.24, 12:59",54
"28.07.24, 16:08",78
"30.07.24, 11:44",135
"31.07.24, 23:13",5
"01.08.24, 11:04",114
"01.08.24, 23:28",5
"03.08.24, 11:32",254
"06.08.24, 22:33",5
"07.08.24, 23:16",5
"08.08.24, 23:42",5
"09.08.24, 23:31",5
"10.08.24, 22:40",5
"11.08.24, 23:10",5
"12.08.24, 17:55",104
"12.08.24, 22:34",6
"13.08.24, 17:53",117
"13.08.24, 22:57",6
"14.08.24, 22:25",5
"15.08.24, 11:59",99
"16.08.24, 22:23",5
"17.08.24, 10:03",288
"17.08.24, 10:03",288
"17.08.24, 22:44",4
"18.08.24, 21:18",5
"18.08.24, 22:59",4
"19.08.24, 13:43",112
"19.08.24, 19:14",5
"19.08.24, 23:01",5
"20.08.24, 15:36",114
"20.08.24, 22:59",5
"21.08.24, 17:52",38
"21.08.24, 23:05",5
"21.08.24, 23:31",4
"22.08.24, 21:34",5
"22.08.24, 22:46",5
"24.08.24, 10:45",32
"24.08.24, 15:03",5
"25.08.24, 07:30",359
"25.08.24, 23:04",5
"26.08.24, 21:42",5
"27.08.24, 17:40",88
"28.08.24, 22:29",5
"29.08.24, 10:49",112
"30.08.24, 13:21",5
"31.08.24, 18:58",5
"01.09.24, 09:33",170
"01.09.24, 23:28",6
"02.09.24, 23:34",18
"03.09.24, 16:28",110
"03.09.24, 23:12",5
"04.09.24, 23:09",5
"06.09.24, 10:12",5
"06.09.24, 14:14",43
"07.09.24, 08:44",301
"09.09.24, 09:44",5
"11.09.24, 15:02",74
"11.09.24, 23:17",6
"13.09.24, 17:28",132
"15.09.24, 16:29",170
"16.09.24, 21:11",5
"17.09.24, 18:41",95
"18.09.24, 22:52",5
"19.09.24, 14:34",127
"19.09.24, 16:18",1
"19.09.24, 23:09",5
"20.09.24, 23:55",6
"21.09.24, 15:06",60
"22.09.24, 10:00",218
"24.09.24, 23:31",6
"25.09.24, 15:35",115
"26.09.24, 15:37",1
"26.09.24, 15:49",1
"26.09.24, 15:50",0
"26.09.24, 16:07",2
"26.09.24, 23:16",5
"27.09.24, 22:44",5
"28.09.24, 13:34",190
"28.09.24, 23:38",5
"29.09.24, 20:02",5
"29.09.24, 23:41",5
"01.10.24, 10:25",59
"01.10.24, 23:22",5
"03.10.24, 14:25",56
"03.10.24, 23:20",5
"04.10.24, 23:57",5
"05.10.24, 15:01",79
"06.10.24, 23:12",5
"08.10.24, 11:08",94
"08.10.24, 23:29",5
"10.10.24, 12:02",117
"11.10.24, 23:02",1
"12.10.24, 15:46",129
"12.10.24, 23:15",5
"13.10.24, 16:14",125
"13.10.24, 23:17",5
"14.10.24, 23:08",5
"15.10.24, 12:04",64
"19.10.24, 00:27",5
"20.10.24, 21:11",42
"20.10.24, 23:48",5
"21.10.24, 23:10",6
"22.10.24, 15:25",63
"23.10.24, 17:04",81
"25.10.24, 12:30",101
"27.10.24, 14:56",137
"29.10.24, 12:10",119
"30.10.24, 12:01",57
"31.10.24, 11:14",85
"02.11.24, 17:48",90
"03.11.24, 15:40",129
"05.11.24, 13:57",105
