date,time,weight,percentfat,fatweight
07.06.20,09:34,61.7,17.70,10.92
08.06.20,08:11,61.7,17.60,10.86
09.06.20,08:12,62.0,17.50,10.85
10.06.20,09:44,61.4,17.60,10.81
11.06.20,11:37,61.2,17.60,10.77
12.06.20,09:13,61.7,17.60,10.86
13.06.20,11:01,61.1,17.60,10.75
14.06.20,11:01,61.4,17.60,10.81
15.06.20,08:14,61.9,17.70,10.96
16.06.20,09:37,62.5,17.70,11.06
17.06.20,10:28,61.9,17.90,11.08
18.06.20,11:02,62.1,18.00,11.18
19.06.20,09:38,62.7,18.10,11.35
20.06.20,10:00,62.2,18.00,11.20
21.06.20,10:45,62.1,18.00,11.18
22.06.20,08:08,62.0,17.90,11.10
23.06.20,08:09,62.7,17.80,11.16
24.06.20,09:21,62.4,17.80,11.11
25.06.20,09:33,62.0,17.80,11.04
26.06.20,07:52,62.0,17.90,11.10
27.06.20,10:00,61.7,17.80,10.98
28.06.20,10:44,61.9,17.70,10.96
29.06.20,07:53,61.9,17.70,10.96
30.06.20,07:59,61.7,17.70,10.92
01.07.20,09:24,61.2,17.50,10.71
02.07.20,09:12,61.8,17.40,10.75
03.07.20,07:56,61.8,17.40,10.75
04.07.20,10:40,60.7,17.40,10.56
05.07.20,08:55,61.1,17.40,10.63
06.07.20,07:43,61.5,17.50,10.76
07.07.20,07:27,61.4,17.40,10.68
08.07.20,09:20,60.9,17.40,10.60
09.07.20,09:21,61.5,17.40,10.70
10.07.20,07:28,61.5,17.40,10.70
11.07.20,09:51,60.7,17.40,10.56
12.07.20,09:59,61.0,17.50,10.68
13.07.20,09:20,61.1,17.50,10.69
14.07.20,07:59,61.5,17.60,10.82
15.07.20,08:00,61.4,17.50,10.75
16.07.20,07:56,61.4,17.50,10.75
17.07.20,07:51,60.8,17.60,10.70
18.07.20,10:14,60.9,17.70,10.78
19.07.20,10:40,60.4,17.70,10.69
20.07.20,08:02,60.6,17.80,10.79
21.07.20,07:51,60.9,17.90,10.90
22.07.20,08:41,61.2,17.80,10.89
23.07.20,09:11,61.4,17.80,10.93
24.07.20,07:58,61.3,17.70,10.85
25.07.20,09:49,61.2,17.80,10.89
26.07.20,09:46,61.1,17.80,10.88
27.07.20,08:06,61.0,17.80,10.86
28.07.20,07:53,61.3,17.80,10.91
29.07.20,08:50,61.1,17.70,10.81
30.07.20,09:06,61.3,17.70,10.85
31.07.20,08:35,61.4,17.70,10.87
01.08.20,10:00,61.0,17.70,10.80
02.08.20,09:53,61.1,17.80,10.88
03.08.20,09:20,61.5,17.80,10.95
04.08.20,10:08,61.5,17.80,10.95
05.08.20,10:15,61.5,17.80,10.95
06.08.20,09:23,61.6,17.80,10.96
07.08.20,10:06,62.0,17.70,10.97
08.08.20,10:57,61.7,17.70,10.92
09.08.20,09:51,61.7,17.70,10.92
10.08.20,08:25,61.8,17.70,10.94
11.08.20,08:17,62.0,17.70,10.97
12.08.20,09:47,61.2,17.70,10.83
13.08.20,07:52,62.3,17.60,10.96
14.08.20,09:24,62.4,17.60,10.98
15.08.20,10:03,62.2,17.60,10.95
16.08.20,09:08,61.9,17.60,10.89
17.08.20,08:53,61.8,17.60,10.88
18.08.20,09:15,62.2,17.60,10.95
19.08.20,07:45,62.3,17.70,11.03
20.08.20,08:16,62.0,17.70,10.97
21.08.20,07:44,62.0,17.70,10.97
22.08.20,11:00,61.5,17.70,10.89
23.08.20,10:14,61.6,17.70,10.90
24.08.20,07:51,61.5,17.70,10.89
25.08.20,08:57,61.5,17.60,10.82
26.08.20,09:35,61.2,17.60,10.77
27.08.20,08:58,61.2,17.50,10.71
28.08.20,08:42,61.9,17.50,10.83
29.08.20,09:10,62.1,17.40,10.81
30.08.20,09:56,61.8,17.40,10.75
31.08.20,08:26,61.2,17.50,10.71
01.09.20,08:21,61.8,17.60,10.88
02.09.20,08:29,61.9,17.60,10.89
03.09.20,08:52,61.8,17.60,10.88
04.09.20,09:33,61.3,17.60,10.79
05.09.20,09:30,60.4,17.50,10.57
06.09.20,09:25,60.9,17.20,10.47
07.09.20,09:19,61.7,17.30,10.67
08.09.20,07:47,61.8,17.30,10.69
09.09.20,08:41,61.6,17.20,10.60
10.09.20,09:23,60.7,17.10,10.38
11.09.20,08:21,60.6,17.10,10.36
12.09.20,09:26,60.2,17.10,10.29
13.09.20,10:39,60.2,17.10,10.29
14.09.20,07:35,60.5,17.10,10.35
15.09.20,07:26,60.6,17.10,10.36
16.09.20,08:52,61.0,17.10,10.43
17.09.20,08:02,60.3,17.00,10.25
18.09.20,07:41,61.3,17.00,10.42
19.09.20,10:14,60.8,17.10,10.40
20.09.20,09:07,60.7,17.10,10.38
21.09.20,08:27,60.5,17.30,10.47
22.09.20,07:43,60.4,17.40,10.51
23.09.20,08:49,60.7,17.30,10.50
24.09.20,08:36,61.4,17.10,10.50
25.09.20,07:44,61.2,17.00,10.40
