Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,time_created,1,,serial_number,1,,number,1,,product_name,20,,,,,,,,,,,,,,,,
Data,0,file_id,type,4,,manufacturer,0,,product,0,,time_created,1096720942,,product_name,Sauce for Strava™,,,,,,,,,,,,,,,,,,,,,,
Definition,1,file_creator,software_version,1,,hardware_version,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,file_creator,software_version,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,2,user_profile,friendly_name,18,,gender,1,,weight,1,,weight_setting,1,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,user_profile,friendly_name,Dominik Rappaport,,gender,1,,weight,61.0,kg,weight_setting,0,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,3,event,event,1,,event_type,1,,event_group,1,,timestamp,1,,data,1,,,,,,,,,,,,,,,,,,,,,,
Data,3,event,event,0,,event_type,0,,event_group,0,,timestamp,1096705521,s,timer_trigger,0,,,,,,,,,,,,,,,,,,,,,,
Definition,4,record,timestamp,1,,altitude,1,,speed,1,,heart_rate,1,,cadence,1,,temperature,1,,power,60,,,,,,,,,,,,,,,,
Data,4,record,timestamp,1096705521,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,83,bpm,cadence,52,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705522,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,84,bpm,cadence,52,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705523,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,85,bpm,cadence,52,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705524,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,85,bpm,cadence,59,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705525,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,86,bpm,cadence,65,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705526,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,87,bpm,cadence,65,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705527,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,88,bpm,cadence,69,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705528,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,89,bpm,cadence,74,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
